Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Polish (Poland)(pl-PL),Polish (Poland)(pl-PL) Comments
lucie_name,,,Lucie,,Lucie,
dlg1_1_lucie,,,Pardon?,,Słucham?,
dlg1_2_pierre,,,Do you need help? You look worried.,,Czy potrzebuje pani pomocy? Wygląda pani na zmartwioną.,
dlg1_3_lucie,,,"What, yes, yes. I'm old already, as you can see. My son was taken away a year ago.",,"Co? A, tak, tak. Stara już jestem, jak widzisz. Syna zabrali rok temu.",
dlg1_4_lucie,,,And my husband is no longer with me either. I need to cut wood. But my hands can't handle it anymore.,,A męża też już nie mam ze mną. Potrzebuję pociąć drewno. Ale moje ręce już nie dają rady.,
dlg1_no1_pierre,,,May God help you and give you strength,,Niech Bóg pani dopomoże i da siłę,
dlg1_no2_pierre,,,"Thank you, thank you. It will certainly come in handy.",,"A, dziękuję, dziękuję. Z pewnością się przyda.",
dlg1_yes1_pierre,,,I will be happy to help you.,,Przecież ja pani z chęcią pomogę.,
dlg1_yes2_lucie,,,Really? You were always so helpful. ,,Naprawdę? Zawsze byłeś taki pomocny. ,
dlg1_yes3_lucie,,,"Come on, let's eat something first - you can't do on an empty stomach.",,"Chodź, najpierw coś zjemy – nie można robić o pustym brzuchu.",
dlg1_yes4_narrator,,,You and your neighbour ate apple pie together and shot the breeze. ,,Zjadłeś razem z sąsiadką jabłecznik i porozmawialiście o dupie Maryi. ,
dlg1_yes5_narrator,,,"Before you knew it, a lot of time had passed. ",,"Nim się zorientowałeś, minęło sporo czasu. ",
dlg1_yes6_narrator,,,"When you finally went out into the garden, you quickly dealt with the wood. There wasn't that much of it.",,"Gdy wyszedłeś w końcu do ogródka, szybko poradziłeś sobie z drewnem. Nie było go tak dużo.",
