Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Polish (Poland)(pl-PL),Polish (Poland)(pl-PL) Comments
lyam_name,,,Lyam,,Lyam,
dlg1_1_lyam,,,,,"Kto tam? A to ty, chłopcze.",
dlg1_2_pierre,,,,,"Dzień dobry. Czy wszystko w porządku? Widzę, że ma pan dziurę w dachu.",
dlg1_3_lyam,,,,,"Eh... Dach, noga – wszystko się psuje. Samemu ciężko się ruszyć, a co dopiero łatać.",
dlg1_3_lyam,,,,,"Pomoc by się przydała, ale kto teraz ma czas na starego dziada…",
dlg1_no1_pierre,,,,,"Życzę panu zdrowia, ale niestety nie mogę pomóc.",
dlg1_no1_lyam,,,,,"A, rozumiem. Każdy ma swoje sprawy... Dobrej drogi, chłopcze.",
dlg1_yes1_pierre,,,,,"Jeśli pan pozwoli, z chęcią pomogę.",
dlg1_yes2_lyam,,,,,"O, błogosławione niech będą twe ręce! Drabina stoi za domem, a kilka desek i młotek znajdziesz w szopie.",
dlg1_yes3_narrator,,,,,"Podprowadziłeś drabinę i zabrałeś się do pracy. Łatanie starego dachu nie było łatwe, ale szybko odnalazłeś rytm. Augustin opowiadał ci w tym czasie historie ze swojego dzieciństwa, śmiejąc się i przeklinając na przemian. Gdy skończyłeś, dach wyglądał lepiej niż nowy.",
dlg1_no-yes1-lyam,,,,,Znów ty. Co cię sprowadza?,
